,neg_data_ko
0,"안녕하세요, 어떻게 지내세요?"
1,잘 지내요.당신은 어때?
2,나는 꽤 좋다.질문 주셔서 감사합니다.
3,괜찮아요.어떻게 지냈어?
4,나는 훌륭했다.당신은 어때요?
5,나는 좋았다.나는 지금 학교에 있습니다.
6,무슨 학교 당신이 가야합니까?
7,나는 PCC에 간다.
8,당신은 거기에서 그것을 좋아합니까?
9,괜찮아요.정말 큰 캠퍼스입니다.
10,학교와 함께 행운을 빕니다.
11,어떻게되고 있습니까?
12,나는 잘하고 있어요.당신은 어떤가요?
13,"더 나은지, 감사합니다."
14,그래서 최근에는 어떻게 되었습니까?
15,나는 실제로 꽤 좋았다.너?
16,나는 실제로 지금 학교에 있습니다.
17,어느 학교에 다니나요?
18,지금 PCC에 참석하고 있습니다.
19,거기에서 그것을 즐기고 있습니까?
20,나쁘지 않습니다.거기에 많은 사람들이 있습니다.
21,좋은 결과 내길 바랄 게.
22,오늘 하루 어땠어요?
23,나는 잘하고있다.당신은 어때요?
24,나는 절대적으로 사랑 스럽습니다. 감사합니다.
25,모든 것이 당신과 잘 지냈습니까?
26,나는 더 나아지지 않았다.당신은 어때?
27,나는 최근에 학교를 시작했다.
28,학교에 어디로 가시나요?
29,나는 PCC에 간다.
30,지금까지 어떻게 마음에 드십니까?
31,나는 지금까지 그것을 좋아한다.내 수업은 지금 꽤 좋다.
32,오늘은 추악한 날입니다.
33,알아요.비가 올 수 있다고 생각합니다.
34,여름의 한가운데 오늘 비가 내리지 않아야합니다.
35,이상 할 것입니다.
36,"예, 특히 외부에 90도이기 때문에."
37,나는 비가 내리고 외부에서 뜨거워지면 끔찍할 것입니다.
38,"예, 그럴 것입니다."
39,나는 그것이 매일 너무 뜨거워지지 않았 으면 좋겠다.
40,저도요.나는 겨울까지 기다릴 수 없다.
41,나도 겨울을 좋아하지만 때로는 너무 추워집니다.
42,차라리 뜨겁다.
43,오늘 밖에서는 그리 멋지지 않습니다.
44,네가 옳아.나중에 비가 올 것이라고 생각합니다.
45,여름 중반에는 비가 오지 않아야합니다.
46,그것은 옳지 않은 것 같습니다.
47,외부에서 90도 이상이라는 점을 고려하면 이상합니다.
48,정확히 비가 내리기 시작하면 좋지 않을 것입니다.너무 뜨겁다.
49,"알아요, 당신이 절대적으로 옳습니다."
50,언젠가 식기를 바랍니다.
51,그것이 내가 느끼는 방식입니다. 겨울이 곧 오기를 원합니다.
52,나는 겨울을 즐긴다. 그러나 때로는 정말 추워집니다.
53,"나는 당신이 무슨 뜻인지 알고 있지만, 나는 뜨겁다."
54,오늘은 좋은 날 이었으면 좋겠어요.
55,그것은 사실입니다.비가 오지 않기를 바랍니다.
56,여름 중반에 비가 내리지 않을 것입니다.
57,지금 비가 내리기 시작하면 옳지 않은 것 같습니다.
58,90도 날씨에 비가 내리기 시작하면 이상합니다.
59,지금은 무의미 할 것입니다.
60,"맞아요, 정말 그렇습니다."
61,나는 그것이 일부를 식히기를 원합니다.
62,"무슨 뜻인지 알아요, 겨울이 될 때까지 기다릴 수 없습니다."
63,겨울은 훌륭합니다.그래도 때때로 차가워지지 않기를 바랍니다.
64,정말 좋은 날이야.
65,"예, 그것은입니다."
66,곧 비가 내릴 것 같습니다.
67,그렇습니다. 그리고 나는 그것이 그렇게되기를 바랍니다.
68,왜 그런 겁니까?
69,나는 비가 공기를 깨끗하게하는 방법을 정말 좋아합니다.
70,저도요.비가 오면 항상 신선한 냄새가납니다.
71,"예,하지만 비가 내린 후 밤 공기를 좋아합니다."
72,정말?왜 그런가요?
73,별을 완벽하게 볼 수 있기 때문입니다.
74,오늘은 비가 오기를 바랍니다.
75,좋은 날이 아닌가요?
76,정말 그렇습니다.
77,오늘은 비가 올 수 있습니다.
78,바라건대 그것은 할 것입니다.
79,어떻게 되나요?
80,나는 비가 오면 하늘이 얼마나 분명한 지 좋아합니다.
81,나는 같은 방식으로 느낀다.비가 내린 후에는 너무 냄새가납니다.
82,나는 특히 비가 올 때 야간 공기를 좋아합니다.
83,정말?왜?
84,비가 오면 별이 훨씬 더 가까워 보입니다.
85,나는 오늘 그것이 정말로 비가 내기를 원한다.
86,당신은 그것이 좋다고 생각하지 않습니까?
87,그래요. 저도 그렇게 생각 해요.
88,비가 올 것이라고 생각합니다.
89,나는 그것이 비가 내리기를 바랍니다.
90,비가 좋아하세요?
91,비가 오면 하늘이 너무 깨끗해 보입니다.나는 그것을 좋아한다.
92,이해합니다.비는 냄새가 더 깨끗합니다.
93,나는 비가 내린 후 밤에 가장 많은 것을 좋아합니다.
94,어떻게 되나요?
95,비가 내린 후 별을 훨씬 더 명확하게 볼 수 있습니다.
96,이번 주말에 해변에 가고 싶어요.
97,재미있는 것 같네요.날씨는 어떻습니까?
98,이번 주말에 따뜻할 것이라고 들었습니다.
99,완벽한 해변 날씨가 될까요?
100,나는 그렇게 믿습니다.
101,좋은.이번 주말에 식지 않기를 바랍니다.
102,알아요.나는 정말로 해변에 가고 싶다.
103,그러나 당신은 캘리포니아 날씨가 예측할 수 없다는 것을 알고 있습니다.
104,네가 옳아.1 분이 더워서 다음 순간이 추워요.
105,나는 날씨가 똑같이 머무르기를 정말로 바라며.
106,나도 그렇게한다.그렇게하면 미리 활동을 계획 할 수 있습니다.
107,이번 주말에 해변으로 여행하고 싶습니다.
108,해변으로의 여행은 재미있을 것입니다.날씨는 어떻습니까?
109,예측에 따르면 주말에는 따뜻할 것이라고합니다.
110,해변에 완벽한 날씨가 될 것이라고 생각하십니까?
111,그것은 될 것 같다.
112,나는 그것이 차가워지지 않기를 바랍니다.
113,"그것은 물건을 망칠 것이고, 나는 너무 심하게 가고 싶다."
114,캘리포니아의 날씨는 예측할 수 없으므로 알지 못합니다.
115,그것은 사실입니다.날씨는 끊임없이 변하고 있습니다.
116,날씨가 결코 변하지 않으면 좋을 것입니다.
117,그것은 좋을 것입니다. 그러면 우리는 더 빨리 계획을 세울 수 있습니다.
118,이번 주말에 해변에 가면 좋을 것입니다.
119,날씨는 어떻습니까?나도 가고 싶을 수도 있습니다.
120,이번 주말 날씨는 따뜻합니다.
121,해변 날씨가 좋을까요?
122,나는 그것이 될 것이라고 생각합니다.
123,이번 주말에 추워지면 좋지 않을 것입니다.
124,나는이 여행이 완벽 해지기를 원한다. 나는 그것이 따뜻해지기를 바랍니다.
125,이 캘리포니아 날씨는 매우 불확실합니다. 무슨 일이 일어날 지 아는 것은 불가능합니다.
126,알아요.매일 날씨가 다르게 보입니다.
127,항상 그렇게 예측할 수 없다면 나는 그것을 좋아할 것입니다.
128,"안녕하세요, 앨리스와 이야기해도 될까요?"
129,이것은 그녀입니다.어떻게되고 있습니까?
130,나는 하루 종일 당신을 부르려고 노력했습니다.
131,미안합니다.나는 청소하고 있었다.
132,괜찮아요.
133,그래서 당신은 나에게 무엇을 불렀습니까?
134,"오, 난 그냥 당신이 내일 어울리고 싶었는지보고 싶었습니다."
135,"물론, 당신은 무엇을하고 싶었습니까?"
136,어쩌면 우리는 영화 나 뭔가를 볼 수 있습니다.
137,재미있는 것 같네요.하자.
138,그럼 내일 뵙겠습니다.
139,안녕하세요. 잘 지내죠.앨리스가 거기 있습니까?
140,말하기.무슨 일이야?
141,왜 전화에 응답하지 않았습니까?
142,"내 나쁜, 나는 집안일이 있었다."
143,괜찮아요.
144,전화의 이유는 무엇입니까?
145,나는 당신과 내일 무언가를하고 싶습니다.
146,좋은 것 같습니다.무엇을 염두에 두었습니까?
147,나는 영화를보고 생각하고 있었다.
148,"좋아, 영화 보러 가자."
149,그때까지.
150,Alice를 사용할 수 있습니까?
151,당신은 그녀와 이야기하고 있습니다.
152,오늘 당신에게 백 번 전화했습니다.
153,나는 뭔가를 하느라 바빴다.사과드립니다.
154,괜찮아요.
155,뭔가 필요 했어?
156,내일 뭔가를하고 싶니?
157,가고 싶은 특별한 곳이 있습니까?
158,영화는 어때?
159,영화가 좋다.
160,학교에서 새로운 소녀를 본 적이 있습니까?
161,"아니요, 그렇지 않았습니다."
162,그녀는 정말 예쁘다.
163,그녀를 나에게 설명하십시오.
164,그녀는 키가 너무 많지 않습니다.
165,"글쎄, 그녀는 얼마나 키가 있습니까?"
166,그녀는 약 5 피트입니다.
167,그래도 그녀는 어떻게 생겼습니까?
168,그녀는 꽤 밝은 갈색 눈을 가지고 있습니다.
169,나는 당신이 말하는 소녀를 알고있을 것입니다.
170,그래서 당신은 그녀를 보았습니까?
171,학교에 새로운 소녀가 있습니다. 아직 그녀를 본 적이 있습니까?
172,나는 아직 그녀를 보지 못했다.
173,나는 그녀가 매우 예쁘다고 생각합니다.
174,그녀가 어떻게 보이는지 말해줘.
175,그녀는 짧습니다.
176,그녀는 어떤 높이입니까?
177,그녀는 아마 약 5 피트 일 것입니다.
178,좋지만 그녀가 어떻게 생겼는지 말해줘.
179,내가 알아 차린 첫 번째 것은 그녀의 아름다운 갈색 눈이었습니다.
180,나는 전에 그녀에게 부딪쳤을 것 같아요.
181,전에 그녀를 본 적이 있다고 말하고 있습니까?
182,새로운 여자를 만났습니까?
183,아니요.당신이 있습니까?
184,그녀는 학교에서 가장 예쁜 소녀 중 하나입니다.
185,그녀는 어떻게 생겼나요?
186,"글쎄, 그녀는 꽤 짧습니다."
187,그녀가 얼마나 키라고 말 하시겠습니까?
188,나는 그녀가 단지 5 피트라고 말할 것이다.
189,그녀의 얼굴 특징은 어떻습니까?
190,그녀는 밝은 갈색 눈을 가지고 있으며 절대적으로 아름답습니다.
191,나는 당신이 누구에 대해 말하는지 알고 있다고 생각합니다.
192,왜 어제 학교에 있지 않았습니까?
193,나는 정말 기분이 좋지 않았다.
194,당신에게 무엇이 잘못 되었습니까?
195,내 배가 화가났다.
196,지금 기분이 나아 졌니?
197,나는 아직 너무 기분이 좋지 않습니다.
198,기분이 나아지도록 원하는 것이 있습니까?
199,고맙지 만 사양 할게.나는 이미 약을 먹었다.
